time=2026-09-24T15:43:59.838+08:00 level=INFO msg="no upstream keys yet; open the panel and add them, /healthz stays 503 until then"
time=2026-09-24T15:43:59.868+08:00 level=INFO msg="atria2api starting" listen=:8318 base-url=https://api.atria-asi.ai keys=0 proxies=0 model=Atria-Dawn-Preview auth-required=true
time=2026-09-24T15:43:59.885+08:00 level=INFO msg=listening addr=:8318
time=2026-09-24T15:44:17.389+08:00 level=INFO msg=http component=server method=GET path=/ status=401 bytes=100 ip=127.0.0.1:39428 took=0s
time=2026-09-24T15:44:18.684+08:00 level=INFO msg=http component=server method=GET path=/healthz status=200 bytes=78 ip=127.0.0.1:39429 took=0s
time=2026-09-24T15:44:42.897+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:27229 took=0s
time=2026-09-24T15:44:43.518+08:00 level=INFO msg=http component=server method=GET path=/ status=404 bytes=154 ip=127.0.0.1:27230 took=0s
time=2026-09-24T15:45:23.106+08:00 level=INFO msg=http component=server method=GET path=/v0/management/ status=200 bytes=1243005 ip=127.0.0.1:23199 took=19ms
time=2026-09-24T15:45:45.813+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:20349 took=0s
time=2026-09-24T15:50:20.589+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:4124 took=1ms
time=2026-09-24T15:50:20.593+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:20.593+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:20.593+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:20.595+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:4823 took=1ms
time=2026-09-24T15:50:20.595+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:22.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:22.160+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:22.161+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:61307 took=1ms
time=2026-09-24T15:50:22.161+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:22.162+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:4124 took=1ms
time=2026-09-24T15:50:22.161+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:24.157+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:24.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:4124 took=0s
time=2026-09-24T15:50:24.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:24.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:24.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:24.160+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:62131 took=1ms
time=2026-09-24T15:50:27.162+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:27.165+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:27.168+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:27.169+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:4124 took=0s
